timestamp,gaze_origin_x,gaze_origin_y,gaze_origin_z,gaze_dir_x,gaze_dir_y,gaze_dir_z,left_eye_open,right_eye_open,head_pos_x,head_pos_y,head_pos_z,head_rot_x,head_rot_y,head_rot_z,pupil_diameter_left,pupil_diameter_right,pupil_valid_left,pupil_valid_right
206.593,0.3588,1.0005,0.2673,-0.9189,-0.1770,0.3525,1.000,1.000,0.3653,1001.0000,0.2632,356.168,295.560,2.444,4.050,4.134,1,1
206.600,0.3586,1.0004,0.2673,-0.9182,-0.1791,0.3532,1.000,1.000,0.3651,1001.0000,0.2632,356.291,295.553,2.355,4.037,4.138,1,1
206.610,0.3578,1.0001,0.2673,-0.9167,-0.1811,0.3562,1.000,1.000,0.3647,1000.9990,0.2633,356.325,295.541,2.354,4.017,4.138,1,1
206.630,0.3574,1.0000,0.2674,-0.9152,-0.1824,0.3592,1.000,1.000,0.3644,1000.9990,0.2633,356.340,295.545,2.349,4.036,4.148,1,1
206.649,0.3574,1.0000,0.2674,-0.9152,-0.1824,0.3592,1.000,1.000,0.3640,1000.9990,0.2633,356.337,295.560,2.394,4.036,4.148,1,1
206.654,0.3571,0.9997,0.2675,-0.9115,-0.1878,0.3659,1.000,1.000,0.3636,1000.9990,0.2634,356.429,295.577,2.502,4.038,4.153,1,1
206.660,0.3570,0.9996,0.2675,-0.9040,-0.1941,0.3808,1.000,1.000,0.3635,1000.9990,0.2634,356.542,295.577,2.412,4.039,4.185,1,1
206.665,0.3567,0.9994,0.2676,-0.8558,-0.2267,0.4649,1.000,1.000,0.3634,1000.9990,0.2635,356.573,295.584,2.419,4.039,4.225,1,1
206.686,0.3567,0.9994,0.2676,-0.8558,-0.2267,0.4649,1.000,1.000,0.3632,1000.9990,0.2635,356.632,295.599,2.462,4.039,4.225,1,1
206.691,0.3565,0.9992,0.2677,-0.8554,-0.2277,0.4652,1.000,1.000,0.3631,1000.9980,0.2636,356.689,295.629,2.432,4.039,4.225,1,1
206.699,0.3564,0.9991,0.2677,-0.8489,-0.2247,0.4784,1.000,1.000,0.3630,1000.9980,0.2636,356.739,295.649,2.398,4.036,4.220,1,1
206.710,0.3562,0.9990,0.2678,-0.8429,-0.2303,0.4863,1.000,1.000,0.3628,1000.9980,0.2637,356.778,295.669,2.417,3.996,4.218,1,1
206.729,0.3560,0.9988,0.2679,-0.8440,-0.2317,0.4838,1.000,1.000,0.3628,1000.9980,0.2637,356.806,295.675,2.386,3.992,4.214,1,1
206.747,0.3560,0.9988,0.2679,-0.8440,-0.2317,0.4838,1.000,1.000,0.3626,1000.9980,0.2638,356.793,295.681,2.412,3.992,4.214,1,1
206.753,0.3559,0.9987,0.2679,-0.8424,-0.2360,0.4845,1.000,1.000,0.3625,1000.9980,0.2638,356.862,295.680,2.480,4.000,4.211,1,1
206.758,0.3559,0.9986,0.2679,-0.8423,-0.2369,0.4842,1.000,1.000,0.3624,1000.9980,0.2638,356.915,295.681,2.428,4.000,4.211,1,1
206.765,0.3557,0.9984,0.2679,-0.8472,-0.2401,0.4740,1.000,1.000,0.3623,1000.9980,0.2638,356.963,295.670,2.440,4.033,4.225,1,1
206.786,0.3557,0.9984,0.2679,-0.8457,-0.2414,0.4759,1.000,1.000,0.3622,1000.9980,0.2637,356.995,295.642,2.450,4.035,4.225,1,1
206.793,0.3555,0.9983,0.2679,-0.8463,-0.2437,0.4737,1.000,1.000,0.3620,1000.9970,0.2638,357.079,295.563,2.443,4.035,4.225,1,1
206.798,0.3554,0.9983,0.2678,-0.8466,-0.2442,0.4729,1.000,1.000,0.3619,1000.9970,0.2637,357.107,295.523,2.397,4.035,4.225,1,1
206.810,0.3547,0.9981,0.2676,-0.8482,-0.2468,0.4688,1.000,1.000,0.3616,1000.9970,0.2636,357.178,295.402,2.366,4.023,4.227,1,1
206.828,0.3543,0.9980,0.2675,-0.8508,-0.2458,0.4646,1.000,1.000,0.3613,1000.9970,0.2636,357.198,295.298,2.327,4.035,4.220,1,1
206.846,0.3543,0.9980,0.2675,-0.8508,-0.2458,0.4646,1.000,1.000,0.3608,1000.9970,0.2635,357.179,295.158,2.297,4.035,4.220,1,1
206.852,0.3534,0.9980,0.2675,-0.8530,-0.2455,0.4607,1.000,1.000,0.3600,1000.9970,0.2634,357.084,294.833,2.278,4.047,4.213,1,1
206.857,0.3531,0.9981,0.2674,-0.8539,-0.2450,0.4592,1.000,1.000,0.3597,1000.9970,0.2634,357.059,294.706,2.358,4.047,4.213,1,1
206.865,0.3520,0.9981,0.2671,-0.8573,-0.2444,0.4531,1.000,1.000,0.3593,1000.9970,0.2633,357.037,294.504,2.393,4.037,4.224,1,1
206.885,0.3520,0.9981,0.2671,-0.8578,-0.2450,0.4517,1.000,1.000,0.3586,1000.9970,0.2631,357.022,294.245,2.411,4.029,4.231,1,1
206.891,0.3512,0.9979,0.2668,-0.8599,-0.2468,0.4468,1.000,1.000,0.3579,1000.9970,0.2629,357.132,293.913,2.465,4.029,4.231,1,1
206.898,0.3508,0.9977,0.2666,-0.8597,-0.2476,0.4467,1.000,1.000,0.3575,1000.9970,0.2627,357.146,293.762,2.379,4.059,4.230,1,1
206.910,0.3497,0.9971,0.2663,-0.8597,-0.2549,0.4426,1.000,1.000,0.3569,1000.9970,0.2626,357.264,293.588,2.395,4.049,4.247,1,1
206.930,0.3490,0.9967,0.2661,-0.8601,-0.2580,0.4401,1.000,1.000,0.3564,1000.9960,0.2624,357.417,293.433,2.368,4.039,4.258,1,1
206.948,0.3490,0.9967,0.2661,-0.8601,-0.2580,0.4401,1.000,1.000,0.3557,1000.9960,0.2622,357.538,293.203,2.400,4.039,4.258,1,1
206.953,0.3483,0.9961,0.2658,-0.8601,-0.2631,0.4371,1.000,1.000,0.3550,1000.9950,0.2620,357.705,292.921,2.407,4.050,4.258,1,1
206.958,0.3481,0.9959,0.2657,-0.8600,-0.2667,0.4350,1.000,1.000,0.3548,1000.9950,0.2619,357.912,292.846,2.280,4.050,4.258,1,1
206.965,0.3473,0.9951,0.2655,-0.8573,-0.2735,0.4362,1.000,1.000,0.3545,1000.9950,0.2619,358.005,292.738,2.304,4.057,4.244,1,1
206.985,0.3473,0.9951,0.2655,-0.8573,-0.2735,0.4362,1.000,1.000,0.3541,1000.9940,0.2618,358.166,292.558,2.386,4.057,4.244,1,1
